Hour,total_trip
00,271361
01,191731
02,131353
03,104444
04,93289
05,79939
06,150946
07,309755
08,472557
09,521989
10,514275
11,511183
12,515736
13,508311
14,558414
15,619315
16,667593
17,707336
18,728303
19,651162
20,542433
21,491104
22,430390
23,369242
