trip_distance,passenger_count,avg(fare_amount)
0.03,5.0,12.2995956284153
0.03,6.0,10.825957446808511
0.03,7.0,40.5
0.03,8.0,67.0
0.03,9.0,30.4
0.04,1.0,19.28715236553337
0.04,2.0,21.074653505237713
0.04,3.0,16.475131375579597
0.04,4.0,22.139141104294477
0.04,5.0,11.585926928281461
0.04,6.0,12.250822222222222
0.04,7.0,50.666666666666664
0.04,9.0,92.5
0.05,1.0,18.87856883509834
0.05,2.0,20.341502590673578
0.05,3.0,17.49437386569873
0.05,4.0,21.561924528301887
0.05,5.0,11.486948640483384
0.05,6.0,11.949
0.05,8.0,8.0
0.05,9.0,90.0
0.06,1.0,18.190009334889147
0.06,2.0,20.888364389233953
0.06,3.0,16.763471933471934
0.06,4.0,18.175570776255707
0.06,5.0,11.415761589403973
0.06,6.0,11.099302325581395
0.06,7.0,50.65
0.06,8.0,82.5
0.07,1.0,16.07873037799824
0.07,2.0,18.831926298157455
0.07,3.0,14.831991614255765
0.07,4.0,22.93808695652174
0.07,5.0,10.65222816399287
0.07,6.0,10.03874635568513
0.08,1.0,15.74000781148288
0.08,2.0,17.70206033376123
0.08,3.0,16.333729603729605
0.08,4.0,17.617070707070706
0.08,5.0,9.986582278481013
0.08,6.0,9.39655172413793
0.09,1.0,15.359236456704108
0.09,2.0,17.370316946959896
0.09,3.0,13.830731707317074
0.09,4.0,19.02051948051948
0.09,5.0,9.801742574257426
0.09,6.0,10.00791277258567
0.1,1.0,8.075005039073472
0.1,2.0,10.973920414410172
0.1,3.0,10.404956343091937
0.1,4.0,10.897855626326965
0.1,5.0,9.281247920133112
0.1,6.0,8.356594594594595
0.1,7.0,70.0
0.11,1.0,13.186282297357154
0.11,2.0,15.318739273927392
0.11,3.0,11.507968337730873
0.11,4.0,14.252209302325582
0.11,5.0,7.908317580340265
0.11,6.0,10.124280701754387
0.12,1.0,11.838583509513741
0.12,2.0,12.70829001367989
0.12,3.0,10.17260752688172
0.12,4.0,14.944767441860465
0.12,5.0,7.508015267175572
0.12,6.0,7.872549019607843
0.12,8.0,88.5
0.13,1.0,11.434716954824315
0.13,2.0,12.32739522888459
0.13,3.0,11.854763092269327
0.13,4.0,12.164887640449438
0.13,5.0,6.281632653061225
0.13,6.0,7.432269938650307
0.13,8.0,85.0
0.13,9.0,9.0
0.14,1.0,10.695876968636425
0.14,2.0,12.210625774473359
0.14,3.0,9.367670588235294
0.14,4.0,11.881569767441862
0.14,5.0,7.107468123861566
0.14,6.0,7.516320474777448
0.14,8.0,8.0
0.15,1.0,9.824249367088608
0.15,2.0,10.728136284216657
0.15,3.0,9.05819383259912
0.15,4.0,10.301094527363183
0.15,5.0,6.456880877742947
0.15,6.0,5.830588235294118
0.15,7.0,73.5
0.15,9.0,95.0
0.16,1.0,9.25139389569815
0.16,2.0,9.825121951219513
0.16,3.0,10.558659574468084
0.16,4.0,10.894786324786326
0.16,5.0,6.537563694267516
0.16,6.0,6.922391857506361
0.16,9.0,45.03
0.17,1.0,8.48586426058336
0.17,2.0,9.134890432923571
0.17,3.0,7.710541012216406
0.17,4.0,8.018828451882845
0.17,5.0,6.418732782369146
0.17,6.0,6.206636155606407
0.18,1.0,7.784244670991659
0.18,2.0,7.978998100664768
0.18,3.0,8.020226086956521
0.18,4.0,7.849076305220883
0.18,5.0,5.25531914893617
0.18,6.0,6.358
0.19,1.0,7.392412760782112
0.19,2.0,8.188784433756013
0.19,3.0,6.84692926045016
0.19,4.0,6.63501872659176
0.19,5.0,5.677744874715263
0.19,6.0,5.405330882352941
0.19,8.0,8.0
0.2,1.0,4.800350583928355
0.2,2.0,5.61772065908653
0.2,3.0,5.669312926668135
0.2,4.0,5.875359382537386
0.2,5.0,5.387067736185383
0.2,6.0,4.793048600883653
0.2,8.0,5.0
0.21,1.0,6.010048581727003
0.21,2.0,6.284123674911661
0.21,3.0,6.366877470355731
0.21,4.0,6.409258160237389
0.21,5.0,5.184257602862254
0.21,6.0,4.900848484848485
0.22,1.0,5.742808117821155
0.22,2.0,6.523639281129653
0.22,3.0,6.080589569160997
0.22,4.0,6.015148247978436
0.22,5.0,4.575718015665796
0.22,6.0,4.605718085106383
0.22,7.0,38.75
0.23,1.0,5.608267488918867
0.23,2.0,6.035269064748202
0.23,3.0,5.628532608695652
0.23,4.0,6.330309278350515
0.23,5.0,4.604736842105264
0.23,6.0,4.930357142857143
0.23,7.0,7.0
0.24,1.0,5.427518805829807
0.24,2.0,5.556792602377807
0.24,3.0,5.4756640625
0.24,4.0,6.475254988913526
0.24,5.0,4.569888961463096
0.24,6.0,4.512323943661972
0.25,1.0,5.184261686210007
0.25,2.0,4.90959377280467
0.25,3.0,4.860446127946128
0.25,4.0,5.41743486973948
0.25,5.0,4.548832709113608
0.25,6.0,4.606044538706256
0.26,1.0,5.089471359223301
0.26,2.0,5.269134745380802
0.26,3.0,4.514461054287962
0.26,4.0,4.771402550091075
0.26,5.0,4.098624641833811
0.26,6.0,4.472831267874166
0.26,9.0,95.0
0.27,1.0,4.914298234082643
0.27,2.0,5.1602093819206765
0.27,3.0,4.849699510831586
0.27,4.0,5.212307692307692
0.27,5.0,4.308080200501253
0.27,6.0,4.335375816993464
0.28,1.0,4.872829439068523
0.28,2.0,5.068023404644359
